"transaction_code","trxn_subtype_code","trxn_status","trxn_type_flag","collection_bank_code","trxn_table","transaction_mode","transaction_type","transaction_group","sales","aum"
"DP1","N","N","DP",,"CAMS",,"DIVIDEND PAID","DIVIDEND PAID",,"0"
"DP1","N","N","DP",,"CAMS_REVERSAL",,"DIVIDEND PAID","DIVIDEND PAID",,"0"
"DP1","N","N",,,"CAMS",,"DIVIDEND PAID","DIVIDEND PAID",,"0"
"DP1","N","R","DP",,"CAMS_REVERSAL",,"DIVIDEND PAID","DIVIDEND PAID",,"0"
"DPREFND","N","N","AP",,"CAMS",,"ADDITIONAL PURCHASE","PURCHASE","GROSS SALES","1"
"DPREFND","N","N","DP",,"CAMS",,"DIVIDEND PAID","DIVIDEND PAID",,"0"
"DPREFND","N","N","FP",,"CAMS",,"FRESH PURCHASE","PURCHASE","GROSS SALES","1"
"DPREFND","N","N","NFOAP",,"CAMS","NFO","ADDITIONAL PURCHASE","PURCHASE","GROSS SALES","1"
"DPREFND","N","N","NFOFP",,"CAMS","NFO","FRESH PURCHASE","PURCHASE","GROSS SALES","1"
"DPREFND","N","N","NFOFP",,"CAMS_REVERSAL","NFO","FRESH PURCHASE","PURCHASE","GROSS SALES","1"
"DPREFND","N","R","NFOFP",,"CAMS_REVERSAL","NFO","FRESH PURCHASE","PURCHASE","GROSS SALES","1"
"DR1","N","M","DR",,"CAMS",,"DIVIDEND REINVESTMENT","DIVIDEND REINVESTMENT","GROSS SALES","1"
"DR1","N","M","DR",,"CAMS_REVERSAL",,"DIVIDEND REINVESTMENT","DIVIDEND REINVESTMENT","GROSS SALES","1"
"DR1","N","N","DR",,"CAMS",,"DIVIDEND REINVESTMENT","DIVIDEND REINVESTMENT","GROSS SALES","1"
"DR1","N","N","DR",,"CAMS_REVERSAL",,"DIVIDEND REINVESTMENT","DIVIDEND REINVESTMENT","GROSS SALES","1"
"DR1","N","N",,,"CAMS",,"DIVIDEND REINVESTMENT","DIVIDEND REINVESTMENT","GROSS SALES","1"
"DR1","N","N",,,"CAMS_REVERSAL",,"DIVIDEND REINVESTMENT","DIVIDEND REINVESTMENT","GROSS SALES","1"
"DR1","N","R","DR",,"CAMS_REVERSAL",,"DIVIDEND REINVESTMENT","DIVIDEND REINVESTMENT","GROSS SALES","1"
"DR1","N","R",,,"CAMS_REVERSAL",,"DIVIDEND REINVESTMENT","DIVIDEND REINVESTMENT","GROSS SALES","1"
"DR1","S","N","DR",,"CAMS",,"DIVIDEND REINVESTMENT","DIVIDEND REINVESTMENT","GROSS SALES","1"
"DR1","S","N","DR",,"CAMS_REVERSAL",,"DIVIDEND REINVESTMENT","DIVIDEND REINVESTMENT","GROSS SALES","1"
"DR1","S","R","DR",,"CAMS_REVERSAL",,"DIVIDEND REINVESTMENT","DIVIDEND REINVESTMENT","GROSS SALES","1"
"DRB","N","N","DR",,"CAMS",,"DIVIDEND REINVESTMENT","DIVIDEND REINVESTMENT","GROSS SALES","1"
"DRE","N","N","DR",,"CAMS",,"DIVIDEND REINVESTMENT","DIVIDEND REINVESTMENT","GROSS SALES","1"
"DRG","N","N","DR",,"CAMS",,"DIVIDEND REINVESTMENT","DIVIDEND REINVESTMENT","GROSS SALES","1"
"DRIFD","N","N","DR",,"CAMS",,"DIVIDEND REINVESTMENT","DIVIDEND REINVESTMENT","GROSS SALES","1"
"DRIFH","N","N","DR",,"CAMS",,"DIVIDEND REINVESTMENT","DIVIDEND REINVESTMENT","GROSS SALES","1"
"DRIFM","N","N","DR",,"CAMS",,"DIVIDEND REINVESTMENT","DIVIDEND REINVESTMENT","GROSS SALES","1"
"DRIFQ","N","N","DR",,"CAMS",,"DIVIDEND REINVESTMENT","DIVIDEND REINVESTMENT","GROSS SALES","1"
"DRL","N","N","DR",,"CAMS_REVERSAL",,"DIVIDEND REINVESTMENT","DIVIDEND REINVESTMENT","GROSS SALES","1"
"DRL","N","R","DR",,"CAMS_REVERSAL",,"DIVIDEND REINVESTMENT","DIVIDEND REINVESTMENT","GROSS SALES","1"
"DRLFD","N","N","DR",,"CAMS",,"DIVIDEND REINVESTMENT","DIVIDEND REINVESTMENT","GROSS SALES","1"
"DRLS1","N","N","DR",,"CAMS",,"DIVIDEND REINVESTMENT","DIVIDEND REINVESTMENT","GROSS SALES","1"
"DRS","N","M","DR",,"CAMS","Dividend Sweep In","DIVIDEND REINVESTMENT","DIVIDEND REINVESTMENT","GROSS SALES","1"
"DRS","N","M","DR",,"CAMS_REVERSAL","Dividend Sweep In","DIVIDEND REINVESTMENT","DIVIDEND REINVESTMENT","GROSS SALES","1"
"DRS","N","N","DR",,"CAMS","Dividend Sweep In","DIVIDEND REINVESTMENT","DIVIDEND REINVESTMENT","GROSS SALES","1"
"DRS","N","N","DR",,"CAMS_REVERSAL","Dividend Sweep In","DIVIDEND REINVESTMENT","DIVIDEND REINVESTMENT","GROSS SALES","1"
"DRS","N","R","DR",,"CAMS_REVERSAL","Dividend Sweep In","DIVIDEND REINVESTMENT","DIVIDEND REINVESTMENT","GROSS SALES","1"
"DRSS1","N","N","DR",,"CAMS",,"DIVIDEND REINVESTMENT","DIVIDEND REINVESTMENT","GROSS SALES","1"
"P",,,,,"SIPSTP",,"PURCHASE","PURCHASE","GROSS SALES","1"
"P10AS","S","M","FPS",,"CAMS",,"FRESH PURCHASE","PURCHASE","GROSS SALES","1"
"P10AS","S","N","AP",,"CAMS",,"ADDITIONAL PURCHASE","PURCHASE","GROSS SALES","1"
"P10AS","S","N","AP",,"CAMS_REVERSAL",,"ADDITIONAL PURCHASE","PURCHASE","GROSS SALES","1"
"P10AS","S","N","APS",,"CAMS",,"ADDITIONAL PURCHASE","PURCHASE","GROSS SALES","1"
"P10AS","S","N","APS",,"CAMS_REVERSAL",,"ADDITIONAL PURCHASE","PURCHASE","GROSS SALES","1"
"P10AS","S","N","APS","NSEDP-B","CAMS",,"PURCHASE","PURCHASE","GROSS SALES","1"
"P10AS","S","N","FPS",,"CAMS",,"FRESH PURCHASE","PURCHASE","GROSS SALES","1"
"P10AS","S","R","AP",,"CAMS_REVERSAL",,"ADDITIONAL PURCHASE","PURCHASE","GROSS SALES","1"
"P10AS","S","R","APS",,"CAMS_REVERSAL",,"ADDITIONAL PURCHASE","PURCHASE","GROSS SALES","1"
"P10DN","N","M","AP",,"CAMS",,"ADDITIONAL PURCHASE","PURCHASE","GROSS SALES","1"
"P10DN","N","M","AP",,"CAMS_REVERSAL",,"ADDITIONAL PURCHASE","PURCHASE","GROSS SALES","1"
"P10DN","N","M","FP",,"CAMS",,"FRESH PURCHASE","PURCHASE","GROSS SALES","1"
"P10DN","N","M","FP",,"CAMS_REVERSAL",,"FRESH PURCHASE","PURCHASE","GROSS SALES","1"
"P10DN","N","N","AP",,"CAMS",,"ADDITIONAL PURCHASE","PURCHASE","GROSS SALES","1"
"P10DN","N","N","AP",,"CAMS_REVERSAL",,"ADDITIONAL PURCHASE","PURCHASE","GROSS SALES","1"
"P10DN","N","N","AP","NSEDP-B","CAMS",,"ADDITIONAL PURCHASE","PURCHASE","GROSS SALES","1"
"P10DN","N","N","FP",,"CAMS",,"FRESH PURCHASE","PURCHASE","GROSS SALES","1"
"P10DN","N","N","FP",,"CAMS_REVERSAL",,"FRESH PURCHASE","PURCHASE","GROSS SALES","1"
"P10DN","N","R","AP",,"CAMS_REVERSAL",,"ADDITIONAL PURCHASE","PURCHASE","GROSS SALES","1"
"P10DN","N","R","FP",,"CAMS_REVERSAL",,"FRESH PURCHASE","PURCHASE","GROSS SALES","1"
"P10DS","S","M","AP",,"CAMS_REVERSAL",,"ADDITIONAL PURCHASE","PURCHASE","GROSS SALES","1"
"P10DS","S","M","APS",,"CAMS",,"ADDITIONAL PURCHASE","PURCHASE","GROSS SALES","1"
"P10DS","S","M","APS",,"CAMS_REVERSAL",,"ADDITIONAL PURCHASE","PURCHASE","GROSS SALES","1"
"P10DS","S","M","FPS",,"CAMS",,"FRESH PURCHASE","PURCHASE","GROSS SALES","1"
"P10DS","S","M","FPS",,"CAMS_REVERSAL",,"FRESH PURCHASE","PURCHASE","GROSS SALES","1"
"P10DS","S","N","AP",,"CAMS",,"ADDITIONAL PURCHASE","PURCHASE","GROSS SALES","1"
"P10DS","S","N","APS",,"CAMS",,"ADDITIONAL PURCHASE","PURCHASE","GROSS SALES","1"
"P10DS","S","N","APS",,"CAMS_REVERSAL",,"ADDITIONAL PURCHASE","PURCHASE","GROSS SALES","1"
"P10DS","S","N","APS","NSEDP-B","CAMS",,"ADDITIONAL PURCHASE","PURCHASE","GROSS SALES","1"
"P10DS","S","N","FPS",,"CAMS",,"FRESH PURCHASE","PURCHASE","GROSS SALES","1"
"P10DS","S","N","FPS",,"CAMS_REVERSAL",,"FRESH PURCHASE","PURCHASE","GROSS SALES","1"
"P10DS","S","R","AP",,"CAMS_REVERSAL",,"ADDITIONAL PURCHASE","PURCHASE","GROSS SALES","1"
"P10DS","S","R","APS",,"CAMS_REVERSAL",,"ADDITIONAL PURCHASE","PURCHASE","GROSS SALES","1"
"P10DS","S","R","FPS",,"CAMS_REVERSAL",,"FRESH PURCHASE","PURCHASE","GROSS SALES","1"
"P10GN","N","M","AP",,"CAMS",,"ADDITIONAL PURCHASE","PURCHASE","GROSS SALES","1"
"P10GN","N","M","AP",,"CAMS_REVERSAL",,"ADDITIONAL PURCHASE","PURCHASE","GROSS SALES","1"
"P10GN","N","M","FP",,"CAMS",,"FRESH PURCHASE","PURCHASE","GROSS SALES","1"
"P10GN","N","N","AP","BSEDP-B","CAMS",,"PURCHASE","PURCHASE","GROSS SALES","1"
"P10GN","N","N","AP",,"CAMS",,"ADDITIONAL PURCHASE","PURCHASE","GROSS SALES","1"
"P10GN","N","N","AP",,"CAMS_REVERSAL",,"ADDITIONAL PURCHASE","PURCHASE","GROSS SALES","1"
"P10GN","N","N","AP","NSEDP-B","CAMS",,"PURCHASE","PURCHASE","GROSS SALES","1"
"P10GN","N","N","FP",,"CAMS",,"FRESH PURCHASE","PURCHASE","GROSS SALES","1"
"P10GN","N","N","FP",,"CAMS_REVERSAL",,"FRESH PURCHASE","PURCHASE","GROSS SALES","1"
"P10GN","N","R","AP",,"CAMS_REVERSAL",,"ADDITIONAL PURCHASE","PURCHASE","GROSS SALES","1"
"P10GN","N","R","FP",,"CAMS_REVERSAL",,"FRESH PURCHASE","PURCHASE","GROSS SALES","1"
"P10GS","S","M","AP",,"CAMS",,"ADDITIONAL PURCHASE","PURCHASE","GROSS SALES","1"
"P10GS","S","M","AP",,"CAMS_REVERSAL",,"ADDITIONAL PURCHASE","PURCHASE","GROSS SALES","1"
"P10GS","S","M","APS",,"CAMS",,"ADDITIONAL PURCHASE","PURCHASE","GROSS SALES","1"
"P10GS","S","N","AP",,"CAMS",,"ADDITIONAL PURCHASE","PURCHASE","GROSS SALES","1"
"P10GS","S","N","AP",,"CAMS_REVERSAL",,"ADDITIONAL PURCHASE","PURCHASE","GROSS SALES","1"
"P10GS","S","N","APS","BSEDP-B","CAMS",,"PURCHASE","PURCHASE","GROSS SALES","1"
"P10GS","S","N","APS",,"CAMS",,"ADDITIONAL PURCHASE","PURCHASE","GROSS SALES","1"
"P10GS","S","N","FPS",,"CAMS",,"FRESH PURCHASE","PURCHASE","GROSS SALES","1"
"P10GS","S","N","FPS",,"CAMS_REVERSAL",,"FRESH PURCHASE","PURCHASE","GROSS SALES","1"
"P10GS","S","R","AP",,"CAMS_REVERSAL",,"ADDITIONAL PURCHASE","PURCHASE","GROSS SALES","1"
"P10GS","S","R","FPS",,"CAMS_REVERSAL",,"FRESH PURCHASE","PURCHASE","GROSS SALES","1"
"P11AS","S","N","AP",,"CAMS",,"ADDITIONAL PURCHASE","PURCHASE","GROSS SALES","1"
"P11AS","S","N","AP",,"CAMS_REVERSAL",,"ADDITIONAL PURCHASE","PURCHASE","GROSS SALES","1"
"P11AS","S","N","FPS",,"CAMS",,"FRESH PURCHASE","PURCHASE","GROSS SALES","1"
"P11AS","S","R","AP",,"CAMS_REVERSAL",,"ADDITIONAL PURCHASE","PURCHASE","GROSS SALES","1"
"P11ST","N","M","FP",,"CAMS",,"FRESH PURCHASE","PURCHASE","GROSS SALES","1"
"P11ST","N","N","AP",,"CAMS",,"ADDITIONAL PURCHASE","PURCHASE","GROSS SALES","1"
"P11ST","N","N","AP",,"CAMS_REVERSAL",,"ADDITIONAL PURCHASE","PURCHASE","GROSS SALES","1"
"P11ST","N","N","AP","NSEDP-B","CAMS",,"PURCHASE","PURCHASE","GROSS SALES","1"
"P11ST","N","N","FP",,"CAMS",,"FRESH PURCHASE","PURCHASE","GROSS SALES","1"
"P11ST","N","N","FP",,"CAMS_REVERSAL",,"FRESH PURCHASE","PURCHASE","GROSS SALES","1"
"P11ST","N","R","AP",,"CAMS_REVERSAL",,"ADDITIONAL PURCHASE","PURCHASE","GROSS SALES","1"
"P11ST","N","R","FP",,"CAMS_REVERSAL",,"FRESH PURCHASE","PURCHASE","GROSS SALES","1"
"P12AS","S","M","AP",,"CAMS",,"ADDITIONAL PURCHASE","PURCHASE","GROSS SALES","1"
